Timestamp,Value
1765737112.2405367,1
1765737112.240915,1
1765737112.2448595,1
1765737112.2480187,1
1765737112.2495492,1
1765737112.251216,1
1765737112.2521694,1
1765737112.2562773,1
1765737112.256717,1
1765737112.2598848,1
1765737112.2605777,1
1765737112.2609327,1
1765737112.2613537,1
1765737112.2615528,1
1765737112.2619777,1
1765737112.2636812,1
1765737112.2640254,1
1765737112.2642229,1
1765737112.2644088,1
1765737112.2645516,1
1765737112.2646954,1
1765737112.264838,1
1765737112.2650487,1
1765737112.2652817,1
1765737112.2654552,1
1765737112.2656124,1
1765737112.2657616,1
1765737112.2660973,1
1765737112.2662187,1
1765737112.2669384,1
1765737112.26723,1
1765737112.2674005,1
1765737112.2675977,1
1765737112.267833,1
1765737112.2679665,1
1765737112.268104,1
1765737112.2682037,1
1765737112.268388,1
1765737112.2685325,1
1765737112.2686489,1
1765737112.2687726,1
1765737112.2689219,1
1765737112.2691557,1
1765737112.2693064,1
1765737112.2694464,1
1765737112.2695785,1
1765737112.2697065,1
1765737112.2698398,1
1765737112.2699702,1
1765737112.2701058,1
1765737112.2702613,1
1765737112.2704415,1
1765737112.2714756,1
1765737112.2717621,1
1765737112.2719944,1
1765737112.2722728,1
1765737112.2724073,1
1765737112.2725503,1
1765737112.2732084,1
1765737112.2733836,1
1765737112.2740583,1
1765737112.2759936,1
1765737112.2765207,1
1765737112.2772138,1
1765737112.278365,1
1765737112.2794154,1
1765737112.2798748,1
1765737112.2804446,1
1765737112.2806242,1
1765737112.2807653,1
1765737112.2811246,1
1765737112.2812889,1
1765737112.2814546,1
1765737112.2817345,1
1765737112.2821841,1
1765737112.2823865,1
1765737112.2825296,1
1765737112.2826593,1
1765737112.2834466,1
1765737112.283794,1
1765737112.2840002,1
1765737112.2845585,1
1765737112.2848115,1
1765737112.2849455,1
1765737112.285079,1
1765737112.285215,1
1765737112.2853985,1
1765737112.2855442,1
1765737112.2857094,1
1765737112.285874,1
1765737112.286077,1
1765737112.286284,1
1765737112.2864428,1
1765737112.286605,1
1765737112.2868063,1
1765737112.2869701,1
1765737112.2880733,1
1765737112.2890606,1
1765737112.2895792,1
