Timestamp,Value
1765737346.8112028,1
1765737346.811392,1
1765737346.8114512,1
1765737346.8115075,1
1765737346.8115532,1
1765737346.8115978,1
1765737346.8116846,1
1765737346.8117375,1
1765737346.811785,1
1765737346.8118784,1
1765737346.8119342,1
1765737346.81198,1
1765737346.8120255,1
1765737346.8120694,1
1765737346.812112,1
1765737346.8121574,1
1765737346.8122025,1
1765737346.812277,1
1765737346.812334,1
1765737346.8124325,1
1765737346.8125505,1
1765737346.8126965,1
1765737346.8127584,1
1765737346.812848,1
1765737346.8128977,1
1765737346.812952,1
1765737346.813014,1
1765737346.813079,1
1765737346.8131404,1
1765737346.813201,1
1765737346.8133051,1
1765737346.8133638,1
1765737346.8134165,1
1765737346.813463,1
1765737346.8135076,1
1765737346.8135793,1
1765737346.8136353,1
1765737346.8136835,1
1765737346.8137298,1
1765737346.8138263,1
1765737346.8138695,1
1765737346.8139336,1
1765737346.813977,1
1765737346.81402,1
1765737346.814062,1
1765737346.8141046,1
1765737346.8141475,1
1765737346.814218,1
1765737346.8142676,1
1765737346.8143137,1
1765737346.8143673,1
1765737346.8144286,1
1765737346.8144891,1
1765737346.8145335,1
1765737346.814577,1
1765737346.8146222,1
1765737346.814667,1
1765737346.8147492,1
1765737346.8148642,1
1765737346.8149257,1
1765737346.8149765,1
1765737346.8150296,1
1765737346.8150837,1
1765737346.815128,1
1765737346.815178,1
1765737346.8152223,1
1765737346.815267,1
1765737346.8153129,1
1765737346.815358,1
1765737346.8154013,1
1765737346.815445,1
1765737346.8154883,1
1765737346.8155324,1
1765737346.8155775,1
1765737346.815635,1
1765737346.8156793,1
1765737346.815723,1
1765737346.8158643,1
1765737346.815929,1
1765737346.8159847,1
1765737346.8160384,1
1765737346.81609,1
1765737346.816138,1
1765737346.816188,1
1765737346.8162386,1
1765737346.8163285,1
1765737346.8163817,1
1765737346.8164299,1
1765737346.8164766,1
1765737346.8165262,1
1765737346.8165808,1
1765737346.8166382,1
1765737346.8166928,1
1765737346.8167517,1
1765737346.8168569,1
1765737346.8169384,1
1765737346.8170795,1
1765737346.817145,1
1765737346.817224,1
1765737346.81729,1
1765737346.8173892,1
